time,iso3_ref,iso3_cp,Source country,Sector,Sub-sector,Cluster,Activity,Jobs created,Capital investment,Project status,Destination state,Aggregate
2018-02-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,New Investment,2069,1832002489.0,Opened,Florida,China
2021-04-01,USA,COL,Colombia,IT,Cybersecurity,Tech,Innovation Center,70,350415016.0,Opened,North Carolina,Other
2024-02-01,USA,BEL,Belgium,Energy,Green Tech,Energy,Logistics Hub,48,224940842.0,Announced,North Carolina,EU
2020-11-01,USA,IND,India,IT,Software,Tech,Expansion,2335,738201897.0,Announced,Massachusetts,BRICS
2020-08-01,USA,NLD,Netherlands,Manufacturing,Robotics,Automotive Hub,Logistics Hub,10,77842269.0,Opened,North Carolina,EU
2020-11-01,USA,ESP,Spain,Manufacturing,Robotics,Industrial,Expansion,274,143155451.0,Announced,New York,EU
2025-01-01,USA,MEX,Mexico,Automotive,Batteries,Automotive Hub,R&D,1780,1548000956.0,Announced,North Carolina,NAFTA (-US)
2021-10-01,USA,MEX,Mexico,Logistics,Oil & Gas,Tech,R&D,1353,2597965598.0,Announced,Florida,NAFTA (-US)
2024-05-01,USA,IND,India,Telecom,Software,Deep Tech,Logistics Hub,2063,1664290627.0,Announced,Florida,BRICS
2018-09-01,USA,GBR,United Kingdom,IT,Software,Deep Tech,M&A,191,2873002824.0,Opened,Virginia,UK
2020-05-01,USA,BRA,Brazil,Agriculture,E-commerce,Life Sciences,Logistics Hub,1161,1260922329.0,Opened,Georgia,BRICS
2017-10-01,USA,MEX,Mexico,Manufacturing,Hardware,Automotive Hub,M&A,1412,1142651408.0,Announced,Pennsylvania,NAFTA (-US)
2017-09-01,USA,CHN,China,Manufacturing,Robotics,Industrial,Innovation Center,272,1429482958.0,Opened,Virginia,China
2021-10-01,USA,MEX,Mexico,Logistics,Batteries,Tech,Logistics Hub,1913,1969522230.0,Announced,Texas,NAFTA (-US)
2021-10-01,USA,MEX,Mexico,Automotive,Robotics,Automotive Hub,Innovation Center,788,2847880145.0,Announced,Pennsylvania,NAFTA (-US)
2025-04-01,USA,CAN,Canada,Mining,Oil & Gas,Energy,M&A,623,2916768833.0,Announced,Illinois,NAFTA (-US)
2016-04-01,USA,CHN,China,Semiconductors,Batteries,Tech,Logistics Hub,938,895269372.0,Announced,New York,China
2023-10-01,USA,CHN,China,Manufacturing,Batteries,Industrial,Expansion,1119,571121576.0,Announced,Georgia,China
2022-03-01,USA,GBR,United Kingdom,Finance,Insurance,Services,Headquarters,1032,2742488450.0,Opened,Florida,UK
2021-02-01,USA,MEX,Mexico,Logistics,Banking,Deep Tech,Manufacturing Plant,191,992684717.0,Announced,Texas,NAFTA (-US)
2021-02-01,USA,CHN,China,Semiconductors,Hardware,Tech,Manufacturing Plant,521,591315229.0,Opened,Ohio,China
2023-10-01,USA,DEU,Germany,Construction,Robotics,Industrial,M&A,1141,4191818.0,Opened,New York,EU
2023-11-01,USA,MEX,Mexico,Manufacturing,Batteries,Industrial,Innovation Center,1635,593443644.0,Announced,Virginia,NAFTA (-US)
2017-12-01,USA,CHN,China,Manufacturing,Hardware,Industrial,Manufacturing Plant,1188,2147933879.0,Opened,North Carolina,China
2020-07-01,USA,IND,India,IT,Batteries,Deep Tech,Innovation Center,653,2898844235.0,Opened,North Carolina,BRICS
2016-09-01,USA,CHN,China,Manufacturing,Hardware,Industrial,M&A,549,1026982281.0,Announced,North Carolina,China
2016-03-01,USA,COL,Colombia,Manufacturing,Batteries,Automotive Hub,Manufacturing Plant,508,34733367.0,Announced,Ohio,Other
2018-07-01,USA,CHN,China,Manufacturing,Hardware,Automotive Hub,Innovation Center,73,2200145414.0,Opened,Florida,China
2019-04-01,USA,CAN,Canada,Energy,Green Tech,Green Growth,Manufacturing Plant,1782,1764068471.0,Opened,North Carolina,NAFTA (-US)
2024-05-01,USA,IND,India,IT,AI,Deep Tech,Headquarters,572,900812886.0,Opened,California,BRICS
2018-12-01,USA,CHN,China,Manufacturing,Hardware,Automotive Hub,New Investment,1639,2773041958.0,Opened,Washington,China
2017-12-01,USA,IND,India,Finance,Insurance,Services,New Investment,1175,1657797596.0,Announced,Texas,BRICS
2023-11-01,USA,MEX,Mexico,Automotive,Batteries,Industrial,Logistics Hub,179,650334238.0,Opened,Illinois,NAFTA (-US)
2016-06-01,USA,SWE,Sweden,IT,Cloud,Tech,R&D,89,115675230.0,Opened,California,EU
2021-06-01,USA,POL,Poland,Manufacturing,Batteries,Automotive Hub,Manufacturing Plant,434,337604691.0,Announced,North Carolina,EU
2022-12-01,USA,GBR,United Kingdom,Construction,Robotics,Automotive Hub,M&A,209,783851308.0,Announced,Virginia,UK
2023-08-01,USA,SWE,Sweden,Manufacturing,Transport,Automotive Hub,Logistics Hub,130,387647448.0,Announced,Ohio,EU
2022-03-01,USA,ARG,Argentina,Manufacturing,Transport,Industrial,Innovation Center,13,228623289.0,Opened,Washington,Other
2016-04-01,USA,CHN,China,Manufacturing,Robotics,Automotive Hub,Expansion,732,888476073.0,Opened,Pennsylvania,China
2022-07-01,USA,PRT,Portugal,Manufacturing,Transport,Automotive Hub,Manufacturing Plant,375,19338117.0,Opened,Ohio,EU
2016-06-01,USA,CAN,Canada,Telecom,Software,Tech,R&D,594,887458698.0,Opened,Massachusetts,NAFTA (-US)
2025-05-01,USA,DEU,Germany,Biotech,Cybersecurity,Automotive Hub,Manufacturing Plant,1216,2732093060.0,Opened,Florida,EU
2023-10-01,USA,ARE,UAE,Manufacturing,Transport,Industrial,Innovation Center,467,100733117.0,Announced,Ohio,Other
2024-06-01,USA,CAN,Canada,Energy,Renewables,Energy,R&D,1391,1590335107.0,Announced,Pennsylvania,NAFTA (-US)
2020-03-01,USA,CAN,Canada,Energy,Green Tech,Commodities,Innovation Center,217,1390613291.0,Announced,New York,NAFTA (-US)
2021-02-01,USA,CHN,China,Semiconductors,AI,Deep Tech,M&A,2231,615073357.0,Announced,Illinois,China
2020-09-01,USA,GBR,United Kingdom,IT,Software,Deep Tech,Expansion,1491,2755716003.0,Announced,Ohio,UK
2021-06-01,USA,CHL,Chile,Manufacturing,Robotics,Industrial,R&D,519,110021469.0,Opened,North Carolina,Other
2022-07-01,USA,SWE,Sweden,Manufacturing,Robotics,Industrial,M&A,467,163280496.0,Opened,Georgia,EU
2022-03-01,USA,AUT,Austria,IT,Hardware,Digital Economy,Headquarters,144,74998069.0,Announced,Washington,EU
2016-08-01,USA,ITA,Italy,Manufacturing,Robotics,Industrial,R&D,232,268166130.0,Opened,Texas,EU
2018-02-01,USA,CZE,Czech Republic,IT,Hardware,Digital Economy,Logistics Hub,584,354130961.0,Opened,North Carolina,EU
2020-03-01,USA,IND,India,IT,Software,Deep Tech,Innovation Center,1756,2577042319.0,Opened,Virginia,BRICS
2019-09-01,USA,ARG,Argentina,IT,AI,Digital Economy,R&D,500,2298729.0,Opened,Florida,Other
2019-08-01,USA,CHN,China,Energy,Renewables,Green Growth,Manufacturing Plant,1297,1299282942.0,Announced,Virginia,China
2016-05-01,USA,CAN,Canada,Energy,Oil & Gas,Energy,R&D,2221,1175725923.0,Opened,Pennsylvania,NAFTA (-US)
2021-10-01,USA,CAN,Canada,Agriculture,Hardware,Digital Economy,M&A,518,2965114071.0,Opened,Georgia,NAFTA (-US)
2018-02-01,USA,ZAF,South Africa,IT,Cloud,Tech,New Investment,215,247334492.0,Opened,Georgia,BRICS
2021-08-01,USA,IND,India,IT,Cybersecurity,Tech,Innovation Center,1945,231150326.0,Announced,Texas,BRICS
2017-07-01,USA,GBR,United Kingdom,Finance,Insurance,Fintech,Logistics Hub,1873,2875066349.0,Opened,Florida,UK
2022-12-01,USA,MEX,Mexico,Manufacturing,Hardware,Industrial,Logistics Hub,2379,2193083225.0,Opened,North Carolina,NAFTA (-US)
2024-01-01,USA,IND,India,IT,Batteries,Tech,Innovation Center,1308,760955274.0,Announced,North Carolina,BRICS
2017-08-01,USA,CZE,Czech Republic,Energy,Oil & Gas,Energy,New Investment,166,22274556.0,Announced,Illinois,EU
2025-05-01,USA,CHN,China,Semiconductors,Hardware,Tech,Expansion,2126,1913219314.0,Opened,New York,China
2016-12-01,USA,IND,India,IT,Batteries,Tech,M&A,688,1412482388.0,Opened,Virginia,BRICS
2019-11-01,USA,CHN,China,Logistics,AI,Green Growth,New Investment,566,2844815863.0,Opened,Virginia,China
2016-01-01,USA,MEX,Mexico,Manufacturing,Hardware,Industrial,Manufacturing Plant,1895,1243339183.0,Announced,Florida,NAFTA (-US)
2023-06-01,USA,MEX,Mexico,Manufacturing,Hardware,Industrial,Manufacturing Plant,1083,565790920.0,Announced,California,NAFTA (-US)
2017-02-01,USA,MEX,Mexico,Manufacturing,Hardware,Industrial,New Investment,1645,2567903196.0,Announced,Virginia,NAFTA (-US)
2021-04-01,USA,CHN,China,Automotive,Hardware,Automotive Hub,Logistics Hub,191,352240135.0,Announced,Massachusetts,China
2019-02-01,USA,CHN,China,Manufacturing,Transport,Industrial,M&A,1336,2778344757.0,Announced,Texas,China
2019-01-01,USA,MEX,Mexico,Manufacturing,Transport,Automotive Hub,Expansion,708,2684467554.0,Opened,Florida,NAFTA (-US)
2016-11-01,USA,IND,India,IT,Cloud,Digital Economy,Logistics Hub,379,2741894850.0,Announced,Texas,BRICS
2024-04-01,USA,VEN,Venezuela,Manufacturing,Transport,Industrial,R&D,237,230559655.0,Opened,Texas,Other
2022-05-01,USA,DEU,Germany,Construction,Transport,Industrial,Logistics Hub,1543,2042352666.0,Announced,Pennsylvania,EU
2024-11-01,USA,FIN,Finland,IT,Batteries,Deep Tech,New Investment,464,378810630.0,Opened,California,EU
2016-03-01,USA,DEU,Germany,Logistics,Transport,Deep Tech,M&A,172,835721622.0,Announced,Florida,EU
2018-09-01,USA,CHN,China,Semiconductors,Software,Deep Tech,M&A,1147,2906366569.0,Opened,Florida,China
2016-06-01,USA,DEU,Germany,Manufacturing,Batteries,Automotive Hub,Headquarters,1909,2732002528.0,Announced,New York,EU
2020-02-01,USA,MEX,Mexico,Automotive,Robotics,Automotive Hub,Logistics Hub,690,1725888382.0,Announced,Illinois,NAFTA (-US)
2016-10-01,USA,MEX,Mexico,Automotive,Hardware,Automotive Hub,Headquarters,1508,2481952228.0,Announced,Florida,NAFTA (-US)
2016-05-01,USA,ARG,Argentina,Manufacturing,Robotics,Industrial,Expansion,383,369130530.0,Announced,Pennsylvania,Other
2017-11-01,USA,BRA,Brazil,Agriculture,Batteries,Defense,Logistics Hub,1413,452895485.0,Announced,North Carolina,BRICS
2016-10-01,USA,DEU,Germany,Manufacturing,Transport,Industrial,M&A,611,2013637197.0,Announced,Pennsylvania,EU
2019-08-01,USA,ZAF,South Africa,Energy,Oil & Gas,Energy,R&D,447,346526383.0,Announced,Florida,BRICS
2016-02-01,USA,IND,India,IT,AI,Deep Tech,R&D,1341,1559199454.0,Announced,Florida,BRICS
2017-01-01,USA,IND,India,Finance,Insurance,Fintech,Innovation Center,1809,1306908859.0,Announced,Illinois,BRICS
2019-04-01,USA,COL,Colombia,Manufacturing,Batteries,Automotive Hub,Manufacturing Plant,24,61389747.0,Announced,North Carolina,Other
2016-02-01,USA,IND,India,IT,Batteries,Deep Tech,R&D,1874,1751593329.0,Opened,California,BRICS
2022-12-01,USA,FIN,Finland,Manufacturing,Hardware,Automotive Hub,R&D,502,49078285.0,Announced,Illinois,EU
2021-05-01,USA,MEX,Mexico,Logistics,Renewables,Defense,Innovation Center,1359,304781710.0,Announced,Ohio,NAFTA (-US)
2021-03-01,USA,CHN,China,Semiconductors,Hardware,Tech,Expansion,1606,1502562650.0,Announced,Washington,China
2024-05-01,USA,AUS,Australia,Manufacturing,Transport,Automotive Hub,Manufacturing Plant,271,27584611.0,Opened,Georgia,Other
2022-01-01,USA,IND,India,IT,Cybersecurity,Tech,Manufacturing Plant,2295,1162243143.0,Announced,Texas,BRICS
2017-05-01,USA,MEX,Mexico,Automotive,Robotics,Automotive Hub,Headquarters,387,2704433149.0,Opened,Washington,NAFTA (-US)
2016-09-01,USA,KOR,South Korea,IT,Cloud,Digital Economy,Expansion,559,207528616.0,Opened,Georgia,Other
2022-03-01,USA,AUS,Australia,Manufacturing,Hardware,Automotive Hub,Expansion,488,78032543.0,Announced,Illinois,Other
2017-03-01,USA,DEU,Germany,Automotive,Robotics,Automotive Hub,M&A,1725,598291679.0,Announced,California,EU
2017-12-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,New Investment,1280,46221853.0,Announced,Georgia,China
2019-02-01,USA,CHN,China,Manufacturing,Batteries,Automotive Hub,Headquarters,1908,2337767472.0,Opened,Virginia,China
2018-11-01,USA,COL,Colombia,Manufacturing,Batteries,Industrial,Headquarters,1,241413985.0,Announced,Virginia,Other
2023-10-01,USA,MEX,Mexico,Logistics,Banking,Fintech,Expansion,1470,1098161550.0,Announced,Texas,NAFTA (-US)
2023-11-01,USA,POL,Poland,Manufacturing,Transport,Automotive Hub,Manufacturing Plant,236,118584973.0,Announced,New York,EU
2020-01-01,USA,MEX,Mexico,Automotive,Robotics,Automotive Hub,R&D,889,737200796.0,Announced,North Carolina,NAFTA (-US)
2021-09-01,USA,CAN,Canada,Energy,Oil & Gas,Energy,R&D,1106,1892841269.0,Announced,Illinois,NAFTA (-US)
2021-02-01,USA,VNM,Vietnam,Energy,Renewables,Commodities,New Investment,477,143084854.0,Announced,Texas,Other
2020-12-01,USA,CHN,China,Automotive,Batteries,Industrial,Logistics Hub,921,594501477.0,Announced,Massachusetts,China
2024-12-01,USA,CHN,China,Semiconductors,Software,Tech,Expansion,2062,1704250010.0,Opened,California,China
2020-02-01,USA,JPN,Japan,Automotive,Hardware,Industrial,M&A,2358,2036041409.0,Announced,Georgia,Other
2022-06-01,USA,DEU,Germany,Retail,Insurance,Fintech,Innovation Center,1381,2848391437.0,Opened,Massachusetts,EU
2022-03-01,USA,IND,India,IT,Cloud,Deep Tech,M&A,340,1813501844.0,Opened,Pennsylvania,BRICS
2016-09-01,USA,MEX,Mexico,Automotive,Batteries,Automotive Hub,New Investment,757,840779362.0,Announced,North Carolina,NAFTA (-US)
2018-10-01,USA,PER,Peru,Manufacturing,Robotics,Industrial,New Investment,485,301935695.0,Opened,Virginia,Other
2022-04-01,USA,NOR,Norway,Manufacturing,Transport,Automotive Hub,Manufacturing Plant,306,102193081.0,Announced,California,Other
2024-03-01,USA,VNM,Vietnam,Logistics,Batteries,Life Sciences,Expansion,128,189048752.0,Opened,California,Other
2018-11-01,USA,ISR,Israel,IT,Batteries,Deep Tech,M&A,273,115605647.0,Opened,Georgia,Other
2016-01-01,USA,AUS,Australia,IT,Cloud,Deep Tech,Innovation Center,442,198039350.0,Announced,Virginia,Other
2019-04-01,USA,MEX,Mexico,Automotive,Robotics,Industrial,R&D,130,2202980244.0,Opened,Texas,NAFTA (-US)
2021-04-01,USA,MEX,Mexico,Automotive,Transport,Industrial,Innovation Center,1959,1378259745.0,Announced,North Carolina,NAFTA (-US)
2017-10-01,USA,JPN,Japan,Manufacturing,Robotics,Industrial,New Investment,862,2560215749.0,Announced,Georgia,Other
2020-12-01,USA,ZAF,South Africa,Manufacturing,Batteries,Automotive Hub,Headquarters,593,259024516.0,Announced,Virginia,BRICS
2021-04-01,USA,CHN,China,Semiconductors,Batteries,Tech,R&D,2496,1482036047.0,Opened,Texas,China
2023-09-01,USA,BEL,Belgium,Manufacturing,Robotics,Industrial,Logistics Hub,165,340542247.0,Opened,Virginia,EU
2021-12-01,USA,SWE,Sweden,IT,Batteries,Digital Economy,Manufacturing Plant,426,1175112.0,Announced,Florida,EU
2016-11-01,USA,CHN,China,Manufacturing,Hardware,Industrial,Logistics Hub,1463,517157605.0,Announced,Virginia,China
2024-09-01,USA,ARE,UAE,IT,Hardware,Deep Tech,Manufacturing Plant,251,290560173.0,Announced,Illinois,Other
2024-05-01,USA,CHN,China,Semiconductors,AI,Deep Tech,Logistics Hub,1633,995950782.0,Opened,Pennsylvania,China
2017-02-01,USA,SAU,Saudi Arabia,Manufacturing,Robotics,Industrial,Manufacturing Plant,97,346214208.0,Announced,Washington,Other
2020-12-01,USA,CHL,Chile,Manufacturing,Batteries,Industrial,Innovation Center,216,248031683.0,Opened,New York,Other
2018-06-01,USA,DEU,Germany,Manufacturing,Hardware,Automotive Hub,Headquarters,2173,1498421649.0,Announced,Illinois,EU
2018-11-01,USA,ZAF,South Africa,IT,AI,Digital Economy,M&A,283,369571296.0,Opened,Illinois,BRICS
2023-01-01,USA,KOR,South Korea,Manufacturing,Batteries,Industrial,M&A,284,153058851.0,Announced,Virginia,Other
2019-01-01,USA,AUS,Australia,Energy,Oil & Gas,Green Growth,Manufacturing Plant,582,231400342.0,Opened,Pennsylvania,Other
2016-05-01,USA,MAR,Morocco,Manufacturing,Hardware,Automotive Hub,Logistics Hub,472,167522679.0,Opened,Pennsylvania,Other
2022-11-01,USA,IND,India,IT,AI,Deep Tech,New Investment,2061,348797687.0,Opened,Illinois,BRICS
2022-06-01,USA,BRA,Brazil,Agriculture,Batteries,Deep Tech,Manufacturing Plant,1042,1942394869.0,Announced,New York,BRICS
2018-02-01,USA,MEX,Mexico,Automotive,Hardware,Automotive Hub,Innovation Center,2161,1907953188.0,Announced,Massachusetts,NAFTA (-US)
2021-02-01,USA,CHN,China,Semiconductors,Cloud,Tech,M&A,171,2901823078.0,Announced,Virginia,China
2016-04-01,USA,CHN,China,Pharma,Oil & Gas,Digital Economy,New Investment,189,2185883369.0,Announced,Georgia,China
2023-05-01,USA,TUR,Turkey,Manufacturing,Robotics,Industrial,New Investment,79,99772369.0,Opened,North Carolina,Other
2025-01-01,USA,CHN,China,Manufacturing,Batteries,Automotive Hub,R&D,919,2884647413.0,Opened,Florida,China
2019-06-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,R&D,499,136447069.0,Opened,Virginia,China
2023-05-01,USA,ZAF,South Africa,IT,Software,Deep Tech,Manufacturing Plant,71,303959505.0,Opened,Pennsylvania,BRICS
2017-06-01,USA,GBR,United Kingdom,Finance,Banking,Services,New Investment,1642,2415815750.0,Announced,North Carolina,UK
2019-04-01,USA,GBR,United Kingdom,Finance,Banking,Services,Innovation Center,1320,1200408453.0,Opened,Virginia,UK
2021-12-01,USA,SWE,Sweden,IT,Hardware,Deep Tech,Innovation Center,470,139787065.0,Opened,Illinois,EU
2019-03-01,USA,CAN,Canada,Energy,Oil & Gas,Commodities,R&D,193,1712356464.0,Opened,Virginia,NAFTA (-US)
2024-08-01,USA,CHN,China,Semiconductors,Cybersecurity,Digital Economy,Innovation Center,52,418387626.0,Announced,Washington,China
2017-02-01,USA,PRT,Portugal,Manufacturing,Hardware,Industrial,New Investment,474,30188602.0,Announced,Massachusetts,EU
2018-08-01,USA,BRA,Brazil,IT,AI,Deep Tech,New Investment,1455,1733137547.0,Announced,New York,BRICS
2020-03-01,USA,CAN,Canada,Agriculture,Hardware,Deep Tech,Headquarters,2008,295043802.0,Announced,Texas,NAFTA (-US)
2019-02-01,USA,SGP,Singapore,Manufacturing,Batteries,Industrial,Manufacturing Plant,65,328322037.0,Announced,Florida,Other
2024-01-01,USA,MEX,Mexico,Automotive,Batteries,Automotive Hub,R&D,241,588700336.0,Opened,Virginia,NAFTA (-US)
2017-11-01,USA,MEX,Mexico,Automotive,Batteries,Industrial,New Investment,536,2309108415.0,Announced,Florida,NAFTA (-US)
2021-03-01,USA,CHN,China,Manufacturing,Robotics,Industrial,M&A,83,1839112469.0,Opened,Illinois,China
2017-03-01,USA,CHN,China,Energy,Oil & Gas,Commodities,Headquarters,951,961948795.0,Opened,Georgia,China
2024-01-01,USA,GBR,United Kingdom,IT,AI,Tech,Headquarters,611,1560444797.0,Opened,Virginia,UK
2018-01-01,USA,CHN,China,Manufacturing,Batteries,Industrial,Logistics Hub,2334,1884176668.0,Announced,Georgia,China
2017-05-01,USA,CZE,Czech Republic,Manufacturing,Transport,Automotive Hub,Expansion,534,130333203.0,Announced,Texas,EU
2024-01-01,USA,CHN,China,Semiconductors,Batteries,Digital Economy,Manufacturing Plant,2174,2117434076.0,Announced,Ohio,China
2025-03-01,USA,GBR,United Kingdom,Finance,Insurance,Fintech,R&D,1523,1418209000.0,Announced,Illinois,UK
2021-06-01,USA,CHN,China,Automotive,Robotics,Automotive Hub,New Investment,1985,1457580509.0,Announced,New York,China
2022-06-01,USA,CAN,Canada,Mining,Green Tech,Green Growth,New Investment,2160,1278598198.0,Opened,Virginia,NAFTA (-US)
2020-05-01,USA,CAN,Canada,Energy,Renewables,Commodities,New Investment,122,1280384592.0,Announced,New York,NAFTA (-US)
2024-08-01,USA,MEX,Mexico,Automotive,Robotics,Automotive Hub,Manufacturing Plant,1318,1376313037.0,Opened,Massachusetts,NAFTA (-US)
2024-08-01,USA,CHN,China,Manufacturing,Robotics,Industrial,R&D,985,526324309.0,Opened,Massachusetts,China
2020-03-01,USA,AUS,Australia,Manufacturing,Batteries,Industrial,Manufacturing Plant,568,144544950.0,Opened,New York,Other
2019-03-01,USA,IND,India,IT,AI,Digital Economy,Headquarters,1506,816796860.0,Opened,Georgia,BRICS
2020-03-01,USA,CAN,Canada,Agriculture,Batteries,Energy,Headquarters,820,2339371804.0,Announced,Illinois,NAFTA (-US)
2021-10-01,USA,MEX,Mexico,Logistics,Hardware,Green Growth,New Investment,1957,738403968.0,Announced,Virginia,NAFTA (-US)
2016-06-01,USA,CHN,China,Manufacturing,Hardware,Industrial,Headquarters,179,2046865600.0,Opened,California,China
2021-07-01,USA,ISR,Israel,Manufacturing,Robotics,Automotive Hub,Innovation Center,219,60339023.0,Announced,Georgia,Other
2016-07-01,USA,CHN,China,Manufacturing,Hardware,Automotive Hub,Logistics Hub,492,1890290874.0,Announced,Virginia,China
2020-03-01,USA,JPN,Japan,Automotive,Hardware,Automotive Hub,R&D,61,2074030453.0,Announced,New York,Other
2021-12-01,USA,CHN,China,Semiconductors,Cybersecurity,Deep Tech,Expansion,1704,911959897.0,Opened,North Carolina,China
2019-06-01,USA,MEX,Mexico,Logistics,Hardware,Life Sciences,M&A,65,2158273535.0,Announced,Illinois,NAFTA (-US)
2021-04-01,USA,CHN,China,Automotive,Robotics,Industrial,Manufacturing Plant,2219,61966928.0,Announced,Illinois,China
2017-03-01,USA,NGA,Nigeria,Telecom,Cybersecurity,Tech,Innovation Center,535,318971115.0,Opened,California,Other
2025-03-01,USA,MEX,Mexico,Automotive,Batteries,Automotive Hub,Logistics Hub,2156,1241310350.0,Announced,California,NAFTA (-US)
2018-05-01,USA,MEX,Mexico,Automotive,Transport,Automotive Hub,Expansion,1005,1689499395.0,Announced,Georgia,NAFTA (-US)
2018-09-01,USA,IND,India,IT,Cybersecurity,Tech,Manufacturing Plant,1230,2339047309.0,Announced,North Carolina,BRICS
2023-10-01,USA,CHN,China,Semiconductors,Cloud,Tech,Innovation Center,1040,686878342.0,Opened,Ohio,China
2024-07-01,USA,CHN,China,Automotive,Robotics,Automotive Hub,New Investment,608,2969081810.0,Opened,Pennsylvania,China
2018-03-01,USA,PRT,Portugal,Manufacturing,Batteries,Automotive Hub,Expansion,2,183021897.0,Opened,Virginia,EU
2018-12-01,USA,CHN,China,Manufacturing,Hardware,Industrial,Manufacturing Plant,2482,1332964796.0,Opened,Virginia,China
2018-05-01,USA,MEX,Mexico,Manufacturing,Robotics,Automotive Hub,Headquarters,1105,2162050852.0,Announced,Georgia,NAFTA (-US)
2019-02-01,USA,IND,India,IT,Batteries,Digital Economy,R&D,1862,2812223957.0,Opened,Georgia,BRICS
2020-09-01,USA,IND,India,Telecom,AI,Tech,New Investment,129,669241077.0,Announced,California,BRICS
2024-01-01,USA,CHN,China,Automotive,Hardware,Industrial,Expansion,751,2349741876.0,Opened,Georgia,China
2024-05-01,USA,SGP,Singapore,IT,AI,Deep Tech,Headquarters,58,375779845.0,Opened,North Carolina,Other
2018-03-01,USA,CHN,China,Manufacturing,Robotics,Industrial,M&A,2259,1620962513.0,Opened,Texas,China
2020-07-01,USA,COL,Colombia,Retail,Banking,Fintech,M&A,45,262027680.0,Opened,Virginia,Other
2018-09-01,USA,NLD,Netherlands,Manufacturing,Robotics,Industrial,R&D,279,325838678.0,Announced,Texas,EU
2021-08-01,USA,CHN,China,Manufacturing,Robotics,Industrial,Manufacturing Plant,1434,901703436.0,Announced,Massachusetts,China
2023-02-01,USA,CHN,China,Semiconductors,AI,Deep Tech,Headquarters,391,1120836750.0,Announced,Florida,China
2021-06-01,USA,MEX,Mexico,Automotive,Transport,Industrial,Headquarters,1068,1513433177.0,Announced,Illinois,NAFTA (-US)
2016-10-01,USA,MEX,Mexico,Automotive,Transport,Industrial,Logistics Hub,548,769406892.0,Announced,New York,NAFTA (-US)
2016-05-01,USA,CHN,China,Manufacturing,Batteries,Industrial,Headquarters,567,1684762623.0,Opened,Illinois,China
2022-02-01,USA,KEN,Kenya,Manufacturing,Robotics,Automotive Hub,Innovation Center,219,312786424.0,Opened,Ohio,Other
2024-01-01,USA,MEX,Mexico,Manufacturing,Hardware,Industrial,Logistics Hub,1591,466987936.0,Opened,Virginia,NAFTA (-US)
2019-02-01,USA,AUT,Austria,IT,Cybersecurity,Digital Economy,Logistics Hub,599,28617654.0,Announced,Pennsylvania,EU
2017-01-01,USA,CHN,China,Energy,Oil & Gas,Energy,R&D,1358,2053876956.0,Announced,California,China
2018-07-01,USA,CAN,Canada,Mining,Green Tech,Energy,M&A,2127,2699872130.0,Opened,Texas,NAFTA (-US)
2019-11-01,USA,CHN,China,Manufacturing,Batteries,Automotive Hub,Innovation Center,1879,2720044764.0,Announced,Washington,China
2024-04-01,USA,ESP,Spain,Manufacturing,Robotics,Automotive Hub,Headquarters,546,323535776.0,Opened,Ohio,EU
2025-01-01,USA,IND,India,Telecom,AI,Tech,Innovation Center,2217,2281297896.0,Opened,Washington,BRICS
2023-04-01,USA,SAU,Saudi Arabia,Manufacturing,Hardware,Industrial,Headquarters,583,53753666.0,Announced,Illinois,Other
2020-04-01,USA,CHN,China,Semiconductors,Batteries,Tech,Manufacturing Plant,2080,2991908446.0,Opened,Pennsylvania,China
2020-08-01,USA,CAN,Canada,Energy,Oil & Gas,Energy,Innovation Center,1927,1438107968.0,Opened,Washington,NAFTA (-US)
2017-03-01,USA,POL,Poland,Manufacturing,Batteries,Industrial,R&D,573,273802829.0,Announced,New York,EU
2018-05-01,USA,CAN,Canada,Agriculture,Software,Commodities,Innovation Center,1204,2730275871.0,Opened,Illinois,NAFTA (-US)
2016-08-01,USA,CHL,Chile,Manufacturing,Batteries,Industrial,R&D,518,101160838.0,Announced,California,Other
2016-05-01,USA,CAN,Canada,Energy,Green Tech,Energy,Headquarters,226,2958618589.0,Announced,Illinois,NAFTA (-US)
2018-05-01,USA,PER,Peru,Manufacturing,Robotics,Industrial,New Investment,126,31418896.0,Announced,Pennsylvania,Other
2019-11-01,USA,MEX,Mexico,Automotive,Batteries,Automotive Hub,New Investment,2122,1020183038.0,Opened,Virginia,NAFTA (-US)
2021-08-01,USA,CHN,China,Semiconductors,Cloud,Deep Tech,Expansion,1706,2424259698.0,Announced,Ohio,China
2022-04-01,USA,CHN,China,Semiconductors,Hardware,Deep Tech,Expansion,1984,2581241207.0,Announced,Virginia,China
2019-09-01,USA,SWE,Sweden,Manufacturing,Batteries,Industrial,Innovation Center,553,112223583.0,Announced,Ohio,EU
2016-02-01,USA,CHN,China,Energy,Renewables,Energy,Innovation Center,574,876749840.0,Announced,Virginia,China
2018-03-01,USA,ESP,Spain,Manufacturing,Transport,Industrial,Innovation Center,494,218980145.0,Announced,North Carolina,EU
2023-11-01,USA,CHN,China,Semiconductors,Hardware,Digital Economy,Innovation Center,1466,773975489.0,Announced,Pennsylvania,China
